Name,Dates,Type,Done
AWS Credits,"January 19, 2023",Quiz,Completed
MP 1 Java/Python Warmup,"January 21, 2023",MP,Completed
Quiz Week 1,"January 21, 2023",Quiz,Completed
Quiz Week 2,"January 28, 2023",Quiz,Completed
MP 2 AWS Load Balancer,"February 4, 2023",MP,Completed
Quiz Week 3,"February 4, 2023",Quiz,Completed
Quiz Week 4,"February 11, 2023",Quiz,Completed
MP 3 AWS Lex & Lambda,"February 18, 2023",MP,Completed
Quiz Week 5,"February 18, 2023",Quiz,Completed
MP 4 Hadoop MapReduce,"February 25, 2023",MP,Completed
Quiz Week 6,"February 25, 2023",Quiz,Completed
MP 5 Spark MapReduce,"March 4, 2023",MP,Completed
Quiz Week 7,"March 4, 2023",Quiz,Completed
Midterm,"March 11, 2023",Exam,Completed
MP 6 Aurora and ElastiCache,"March 25, 2023",MP,Completed
Quiz Week 10,"March 25, 2023",Quiz,Completed
MP 7 HBase,"April 1, 2023",MP,Completed
Quiz Week 11,"April 1, 2023",Quiz,Completed
MP 8 Spark SQL,"April 8, 2023",MP,Completed
Quiz Week 12,"April 8, 2023",Quiz,Completed
MP 9 Cloud Analytics and Visulaization,"April 15, 2023",MP,Completed
Quiz Week 13,"April 15, 2023",Quiz,Completed
MP 10 Spark GraphFrames and MLLib,"April 22, 2023",MP,Completed
Quiz Week 14,"April 22, 2023",Quiz,Completed
MP 11 Storm and Flux,"April 29, 2023",MP,Completed
Quiz Week 15,"April 29, 2023",Quiz,Completed
MP 12 Containerization & Kubernetes,"May 6, 2023",MP,Completed
Quiz Week 16,"May 6, 2023",Quiz,Completed
Final,"May 14, 2023",Exam,Completed
